MEGS AND SAM CONSUMER GOODS TRADING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,,,,Total Number of Invested on Products,,,,," ₱123,187.50 ",
Address,,,,Total Number of Sales,,,,,0,
"City, State, ZIP",,,,Total Number of Sold Products,,,,,0,
Phone,,,,Total Estimated of Stocks (Unsold),,,,, ₱-   ,"3,423.00"
,,,,Total Estimated Value,,,,, ₱-   ,"₱262,365.00"
,,Purchase Information,,,,,,,,
Location,Description,Date,Capital Price, Price per. Product ,Number of Sales, Total  ,Stocks,Sold,Total number  of Unsold Products,Total Estimated Value
,Bugkot @25p,,, ₱25.00 ,, ₱-   ,5,,5,₱125.00
,Butterfly Shadow Hair Spray 150mL,,, ₱95.00 ,, ₱-   ,2,,2,₱190.00
,Butterfly Shadow Hair Spray 320mL,,, ₱120.00 ,, ₱-   ,4,,4,₱480.00
,Butterfly Shadow Hair Spray 600mL,,, ₱220.00 ,, ₱-   ,0,,0,₱0.00
,CAPADOSA skin whitening,,, ₱285.00 ,, ₱-   ,3,,3,₱855.00
,CAPADOSA skin whiteningbotox,,, ₱285.00 ,, ₱-   ,1,,1,₱285.00
,Caffe Machiatto 8 sachets avocado,,, ₱399.00 ,, ₱-   ,1,,1,₱399.00
,Caffe Machiatto 8 sachets COFFEE,,, ₱390.00 ,, ₱-   ,3,,3,"₱1,170.00"
,Caffe Machiatto REFILL sachets COFFEE,,, ₱40.00 ,, ₱-   ,5,,5,₱200.00
,Canvovi Calculator,,, ₱150.00 ,, ₱-   ,0,,0,₱0.00
,Card Case B5 clear plastic,,, ₱30.00 ,, ₱-   ,0,,0,₱0.00
,Cargo Pants CODE 2019 XL,,, ₱290.00 ,, ₱-   ,1,,1,₱290.00
,TROUSER L9202 XL,,, ₱330.00 ,, ₱-   ,1,,1,₱330.00
,TROUSER L9205 L,,, ₱330.00 ,, ₱-   ,1,,1,₱330.00
,TROUSER L9205 XL,,, ₱330.00 ,, ₱-   ,1,,1,₱330.00
,TROUSER L2155 XL,,, ₱350.00 ,, ₱-   ,1,,1,₱350.00
,TROUSER S001 ,,, ₱199.00 ,, ₱-   ,2,,2,₱398.00
,TROUSER WHITE B L,,, ₱199.00 ,, ₱-   ,1,,1,₱199.00
,ADIDAS JOGGING PANTS,,, ₱180.00 ,, ₱-   ,2,,2,₱360.00
,PALDA DENIM BLUE  LARGE 4024,,, ₱300.00 ,, ₱-   ,1,,1,₱300.00
,PALDA BLACK 662,,, ₱350.00 ,, ₱-   ,1,,1,₱350.00
,TROUSER NAVY BLUE,,, ₱280.00 ,, ₱-   ,1,,1,₱280.00
,CARONIA Nail Polish 15mL,,₱54.00, ₱65.00 ,, ₱-   ,0,,0,₱0.00
,Creations Spa essentials,,, ₱160.00 ,, ₱-   ,11,,11,"₱1,760.00"
,CARONIA Nail Polish 8mL,,₱36.85, ₱65.00 ,, ₱-   ,0,,0,₱0.00
,Cartolina ,,, ₱10.00 ,, ₱-   ,6,,6,₱60.00
,Cash Voucher ,,, ₱10.00 ,, ₱-   ,0,,0,₱0.00
,Cellphone Chain @60,,, ₱60.00 ,, ₱-   ,0,,0,₱0.00
,Cellphone Chain@45,,, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,Chamois,,, ₱80.00 ,, ₱-   ,0,,0,₱0.00
,Check Deo MEN AND WOMEN,,, ₱120.00 ,, ₱-   ,3,,3,₱360.00
,Chel Niacinamide Gold Serum,,, ₱200.00 ,, ₱-   ,3,,3,₱600.00
,Chel Niacinamide Whitening Lotion 200mL,,, ₱270.00 ,, ₱-   ,1,,1,₱270.00
,Chel Sunscreen Gel Cream,,, ₱180.00 ,, ₱-   ,2,,2,₱360.00
,Chel Tinted Premium Sunscreen ,,, ₱220.00 ,, ₱-   ,1,,1,₱220.00
,Chel INSTANT GLOW WHITENING Sunscreen ,,, ₱180.00 ,, ₱-   ,3,,3,₱540.00
,Cherry White,,, ₱50.00 ,, ₱-   ,17,,17,₱850.00
,Choco Sandwich Popsicle ,,, ₱5.00 ,, ₱-   ,0,,0,₱0.00
,Chocolate Gold Coins PCS,,, ₱2.00 ,, ₱-   ,31,,31,₱62.00
,Chocolate Milk Chocolate + Cookies ,,, ₱5.00 ,, ₱-   ,11,,11,₱55.00
,Choctaek Foil Roll (10cm),,, ₱80.00 ,, ₱-   ,0,,0,₱0.00
,Choctaek Foil Roll (15cm),,, ₱108.00 ,, ₱-   ,0,,0,₱0.00
,Christian Dior Wallet ,,, ₱90.00 ,, ₱-   ,2,,2,₱180.00
,Clear Book (Long),,, ₱37.00 ,, ₱-   ,6,,6,₱222.00
,Clear Book (Short),,, ₱33.00 ,, ₱-   ,0,,0,₱0.00
,Cleene Coton (50g),,, ₱80.00 ,, ₱-   ,0,,0,₱0.00
,Color Pen ,,, ₱17.00 ,, ₱-   ,0,,0,₱0.00
