MEGS AND SAM CONSUMER GOODS TRADING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,,,,Total Number of Invested on Products,,,,," ₱123,187.50 ",
Address,,,,Total Number of Sales,,,,,0,
"City, State, ZIP",,,,Total Number of Sold Products,,,,,0,
Phone,,,,Total Estimated of Stocks (Unsold),,,,, ₱-   ,"3,423.00"
,,,,Total Estimated Value,,,,, ₱-   ,"₱262,365.00"
,,Purchase Information,,,,,,,,
Location,Description,Date,Capital Price, Price per. Product ,Number of Sales, Total  ,Stocks,Sold,Total number  of Unsold Products,Total Estimated Value
,sun rio bugkot small Mc- 926,,, ₱25.00 ,,,0,,0,₱0.00
,Sunflower hair clam,,, ₱45.00 ,,,0,,0,₱0.00
,butterfly fly hairclam HC-1227,,, ₱25.00 ,,,0,,0,₱0.00
,Hair clam 1119,,, ₱20.00 ,,,0,,0,₱0.00
,Hair clam Mc  1119,,, ₱20.00 ,,,0,,0,₱0.00
,HC 529B pair,,, ₱15.00 ,,,0,,0,₱0.00
,HC 529A pair,,, ₱15.00 ,,,0,,0,₱0.00
,HPN 228,,, ₱25.00 ,,,0,,0,₱0.00
,Mc-882,,, ₱10.00 ,,,0,,0,₱0.00
,Hpn 258,,, ₱25.00 ,,,0,,0,₱0.00
,HC 1094,,, ₱15.00 ,,,0,,0,₱0.00
,HPN- 236,,, ₱20.00 ,,,0,,0,₱0.00
,Mc 800 Hair clam,,, ₱35.00 ,,,0,,0,₱0.00
,MC 957 head band,,, ₱65.00 ,,,0,,0,₱0.00
,Mc 1072 Hband,,, ₱65.00 ,,,0,,0,₱0.00
,Mc 771 Hair clam ,,, ₱35.00 ,,,0,,0,₱0.00
,HB 714 Headband,,, ₱25.00 ,,,0,,0,₱0.00
,Hc- 1885 hair clam small,,, ₱10.00 ,,,0,,0,₱0.00
,SYH 144 earings,,, ₱25.00 ,,,0,,0,₱0.00
,Head band small HB 641,,, ₱30.00 ,,,0,,0,₱0.00
,Head band  HB666,,, ₱35.00 ,, ₱-   ,0,,0,₱0.00
,Bracelet MC 1057,,, ₱50.00 ,,,0,,0,₱0.00
,Mc 985,,, ₱35.00 ,,,0,,0,₱0.00
,HP 958,,, ₱50.00 ,,,0,,0,₱0.00
,MC911 66101 3 in 1 pack,,, ₱30.00 ,,,0,,0,₱0.00
,MC 1074,,, ₱15.00 ,,,0,,0,₱0.00
,Hair clip MC1132,,, ₱20.00 ,,,0,,0,₱0.00
,hair rebbon MC 1069,,, ₱25.00 ,,,0,,0,₱0.00
,Head  band 4In 1,,, ₱120.00 ,,,0,,0,₱0.00
,HC Y4Ib small clip,,, ₱5.00 ,,,0,,0,₱0.00
,Laundry brush,,, ₱25.00 ,,,0,,0,₱0.00
,steel wall,,, ₱15.00 ,,,0,,0,₱0.00
,MC 860 hairpin,,, ₱20.00 ,, ₱-   ,0,,0,₱0.00
,MC 332 Hair  pen,,, ₱35.00 ,,,0,,0,₱0.00
,sponge,,, ₱15.00 ,,,0,,0,₱0.00
,Hair pin HPN 160,,, ₱30.00 ,,,0,,0,₱0.00
,Mc 879 star hairpin,,, ₱35.00 ,,,0,,0,₱0.00
,Hair pin 337,,, ₱25.00 ,,,0,,0,₱0.00
,HIKARI ULTRA WHITE MIRACLE SOAP,,, ₱250.00 ,,,3,,3,₱750.00
,GLOWEE BLEAACHING SOAP,,, ₱185.00 ,,,1,,,₱185.00
,HIKARI TINTED SUSCREEN,,, ₱299.00 ,,,1,,1,₱299.00
,HAMISAN ELITE CREAM,,, ₱250.00 ,,,5,,5,"₱1,250.00"
,HAMISAN HIJO SOAP,,, ₱205.00 ,,,4,,4,₱820.00
,CHEL COLAGEN INTENSE WHIT SOAP,,, ₱180.00 ,,,7,,7,"₱1,260.00"
,CHEL COLLAGEN  SOAP,,, ₱150.00 ,,,1,,1,₱150.00
,SNAIL WHITE WHIPP SOAP,,, ₱75.00 ,,,2,,2,₱150.00
,GLOWRIE BLEACHING SOAP ,,, ₱180.00 ,,,2,,2,₱360.00
,HABIBI MILKY FEELING SOAP,,, ₱50.00 ,,,8,,8,₱400.00
,SY GLOW REJU SET ,,, ₱300.00 ,,,2,,2,₱600.00
,SY GLOW PREMIUM SOAP ,,, ₱128.00 ,,,4,,2,₱256.00
,JENNIE MON BODY BOOSTER,,, ₱420.00 ,,,4,,4,"₱1,680.00"
,YOU GLOW  CAPSULE,,, ₱320.00 ,,,3,,3,₱960.00
,MIRACLE TAWAS CREAM,,, ₱120.00 ,,,4,,4,₱480.00
,HEAVENLY FRESH FEMININE WASH ,,, ₱250.00 ,,,4,,4,"₱1,000.00"
,PORCELANA ASTRINGENT,,, ₱120.00 ,,,7,,7,₱840.00
,PIKAS CREAM ,,, ₱250.00 ,,,2,,2,₱500.00
,SADOER NIACINAMIDE,,, ₱100.00 ,,,1,,1,₱100.00
,SKEENCARE PEKAS DUO,,, ₱220.00 ,,,1,,1,₱220.00
,VASELINE BRIGHTENING CREAM,,, ₱120.00 ,,,3,,3,₱360.00
,BAKUCHIOL RETINOL REJUV SERUM,,, ₱160.00 ,,,20,,2,₱320.00
,SKEEN CARE PEELING LOTION 100ML,,, ₱220.00 ,,,3,,3,₱660.00
,SKEEN CARE PEELING LOTION 50ML,,, ₱120.00 ,,,1,,1,₱120.00
,ASHLEY SHINE NIACINAMIDE 2 IN 1,,, ₱260.00 ,,,1,,1,₱260.00
,HABIBI SKIN INSTANT WHIT LOTION 100 GRMS ?,,, ₱350.00 ,,,2,,2,₱350.00
,HABIBI SKIN INSTANT WHIT LOTION ? 50 GMS,,, ₱220.00 ,,,4,,4,₱880.00
,NICOR PEACH RADIANCE CREAM,,, ₱130.00 ,,,1,,1,₱130.00
,LIP TINT SKIN LOVE PERFECTION,,, ₱150.00 ,,,1,,150,₱150.00
,DIANE PILLS ,,, ₱480.00 ,,,3,,3,"₱1,440.00"
,MAGIC BLUSHER CHEEK COLOR,,, ₱65.00 ,,,3,,3,₱195.00
,BLUSHER VANESSA,,, ₱80.00 ,,,3,,3,₱240.00
,KISS Beauty LIP TINT,,, ₱55.00 ,,,3,,3,₱165.00
,KISS BEAUTY LIPSTICK,,, ₱55.00 ,,,5,,5,₱275.00
,Monaliza MATT LIPSTICK,,, ₱55.00 ,,,3,,3,₱165.00
,ANNASA MATTE LIPSTICK,,, ₱55.00 ,,,1,,1,₱55.00
,SUNISA LIP GLOSS,,, ₱70.00 ,,,3,,3,₱210.00
,SOFT KISS TINT,,, ₱75.00 ,,,5,,5,₱375.00
,ERSHIQI LIPTINT,,, ₱60.00 ,,,2,,2,₱120.00
,SKYHIGH LIPSTICK,,, ₱70.00 ,,,2,,2,₱140.00
,SUMMER GIRL LIPTINT,,, ₱70.00 ,,,4,,4,₱280.00
,SUNISA EYEBROW GEL,,, ₱120.00 ,,,3,,3,₱360.00
,CANDY TINT ,,, ₱55.00 ,,,1,,1,₱55.00
,CHEL SERUM,,, ₱95.00 ,,,19,,19,"₱1,805.00"
,CHEL REJUV SET,,, ₱180.00 ,,,2,,2,₱360.00
,CHEL GLOWING SET,,, ₱180.00 ,,,5,,5,₱900.00
,CHEL INTENSE REJUV SET,,, ₱180.00 ,,,7,,2,"₱1,260.00"
,AGELESS BEAUTY REJUV SET,,, ₱180.00 ,,,1,,1,₱360.00
,AGELESS BEAUTY MAINTENANCE SET,,, ₱180.00 ,,,1,,1,₱180.00
,Tuff POWDER 1000mL,,, ₱140.00 ,,,1,,1,₱140.00
,DOVE SOAP ,,, ₱175.00 ,,,2,,2,₱350.00
,ALERT TOTPASTE,,, ₱159.00 ,,,3,,3,₱477.00
,SADOER COLLAGEN BODY LOTION?,,,,,,0,,0,₱0.00
,HANKEY  CREAM,,, ₱140.00 ,,,1,,1,₱140.00
,ORANGE PEELING LOTION,,, ₱100.00 ,,,1,,1,₱100.00
,OHLY ONE PAPAYA,,, ₱150.00 ,,,1,,1,₱150.00
,GLOWMING CAFÉ  LATTE,,,,,,1,,1,₱0.00
,GLOWMING POMEGRANATE ,,,,,,1,,1,₱0.00
,HAMISAN BEAUTY GLUTACOLLA DRINK,,,,,,1,,1,₱0.00
,REVENGE GLOW SLIMMING JUICE ,,, ₱250.00 ,,,1,,1,₱250.00
,ACAI BERRY FITGUM,,, ₱230.00 ,,,2,,2,₱460.00
,ACAI BERRY WEEKIT7,,, ₱200.00 ,,,2,,2,₱400.00
,GLUTTA LIPPO RED ICE TEA,,, ₱390.00 ,,,2,,2,₱780.00
,GLUTTA LIPPO RED ICE TEA SACHET,,, ₱40.00 ,,,2,,2,₱80.00
,TANAKO EYE PATCH 98%,,, ₱130.00 ,,,1,,1,₱130.00
,TANAKO POWDER,,, ₱50.00 ,,,1,,1,₱50.00
,BREMOD STYLING GEL,,, ₱140.00 ,,,2,,2,₱140.00
,KNEE PATCH ,,, ₱55.00 ,,,5,,5,₱275.00
,BONITA SUNFLOWER OIL,,, ₱180.00 ,,,2,,160,₱360.00
,COLD WAX ,,, ₱75.00 ,, ₱-   ,1,,1,₱75.00
,VICTORIA SECET ,,, ₱100.00 ,, ₱-   ,2,,2,₱200.00
,NIVEA UNDERARMS,,, ₱225.00 ,, ₱-   ,1,,1,₱225.00
,M FRAGRANCE PERFUME ,,, ₱175.00 ,, ₱-   ,3,,3,₱525.00
,JK BULGARI PERFUME,,, ₱180.00 ,, ₱-   ,1,,1,₱180.00
,Love Skin Perfection PERFUME,,, ₱150.00 ,, ₱-   ,1,,1,₱150.00
,AURORA SPRING,,, ₱180.00 ,, ₱-   ,7,,7,"₱1,260.00"
,WHITE DOVE BABY LOTION,,, ₱155.00 ,, ₱-   ,1,,1,₱155.00
,WHITE DOVE BABY SHAMPOO,,, ₱155.00 ,, ₱-   ,1,,1,₱155.00
,SCOBAN FLUORIDE ACTIVITY,,, ₱140.00 ,, ₱-   ,1,,1,₱140.00
,SACELADY PRESSED POWDER,,, ₱220.00 ,, ₱-   ,3,,3,₱660.00
,BRILLIANT KOJIC ACID SOAP 270 GRM,,, ₱250.00 ,, ₱-   ,1,,1,₱250.00
,BRILLIANT KOJIC ACID SOAP 210GRM,,, ₱210.00 ,, ₱-   ,1,,1,₱210.00
,ASHLEY CONCEALER,,, ₱70.00 ,, ₱-   ,3,,3,₱210.00
,MELIYA BAEUTY MAKE UP,,,,, ₱-   ,3,,3,₱0.00
,ASHLEY MAKE UP PALETTE,,, ₱140.00 ,, ₱-   ,1,,1,₱140.00
,BUFFER NAILS,,, ₱20.00 ,, ₱-   ,3,,3,₱60.00
,UYAAI BORNEOL SOLUTION 60ML,,, ₱90.00 ,, ₱-   ,3,,3,₱270.00
,UYAAI BORNEOL SOLUTION 120ML,,, ₱120.00 ,, ₱-   ,2,,2,₱240.00
,SHAQINUOEYEBROW GEL,,,,, ₱-   ,1,,1,₱0.00
,MYRA-E CAPSULE,,, ₱480.00 ,, ₱-   ,2,,2,₱960.00
,SY GLOW X10 BLEACHING CREAM,,, ₱310.00 ,, ₱-   ,2,,2,₱620.00
,SY GLOW 10X WHITENING,,, ₱95.00 ,, ₱-   ,7,,7,₱665.00
,NANO THE ELF WHITE DOSE,,, ₱420.00 ,, ₱-   ,4,,4,"₱1,680.00"
,HAMISAN  BEST  SET,,, ₱250.00 ,, ₱-   ,3,,3,₱750.00
,PINK GLAM RENEWAL SET,,, ₱180.00 ,, ₱-   ,1,,1,₱180.00
,RESET SASKIN REJUV SET,,, ₱280.00 ,, ₱-   ,1,,1,₱280.00
,88 TOTAL WHITE ,,, ₱285.00 ,, ₱-   ,2,,2,₱570.00
,PERFECT SKIN X 50 50 GRMS,,, ₱180.00 ,, ₱-   ,5,,5,₱900.00
,PERFECT SKIN X 50 15GRMS GRMS,,, ₱95.00 ,, ₱-   ,6,,6,₱570.00
,DR ALVIN REJUV ADVANCE 10 GRMS ,,, ₱85.00 ,, ₱-   ,3,,3,₱255.00
,BAUTY VAULT REJUV 50 GRMS ,,, ₱200.00 ,, ₱-   ,2,,2,₱400.00
,SKEENCARE  SUNBLOCK CREAM,,, ₱65.00 ,, ₱-   ,2,,2,₱130.00
,SERUM BOOSTED SKIN TINT,,, ₱150.00 ,, ₱-   ,1,,1,₱150.00
,Simple Pretty PRESSED POWDER,,, ₱159.00 ,, ₱-   ,1,,1,₱159.00
,VAPORIN 10ML,,, ₱200.00 ,, ₱-   ,3,,3,₱600.00
,FAIRY SKIN SUNSCREEN 10G,,, ₱60.00 ,, ₱-   ,2,,2,₱120.00
,AGELESS BEAUTY BABY CREAM,,, ₱150.00 ,, ₱-   ,3,,3,₱450.00
,BRILLIANT WHITENING FACIAL CREAM ,,, ₱95.00 ,, ₱-   ,3,,3,₱285.00
,BRILLIANT SUNSCREEN ,,, ₱95.00 ,, ₱-   ,3,,3,₱285.00
,BRILLIANT GEL CREAM SUBSREEN,,, ₱65.00 ,, ₱-   ,1,,1,₱65.00
,MEIYA BB CREAM,,,,, ₱-   ,2,,2,₱0.00
,MOIST SKINCARE BB CREAM,,, ₱35.00 ,, ₱-   ,1,,1,₱35.00
,SKINLOVE  PERFECTION TONER 120ML,,, ₱150.00 ,, ₱-   ,3,,3,₱450.00
,YASUY TONER,,, ₱90.00 ,, ₱-   ,2,,2,₱180.00
,AGELESS REJUV TONER ,,, ₱60.00 ,, ₱-   ,1,,1,₱60.00
,SKINTOUCH TONER,,, ₱95.00 ,,,1,,1,₱95.00
,SUGAR DOLLS FRESH GLOW ESSENCE,,, ₱180.00 ,, ₱-   ,1,,1,₱180.00
,LARSKIN TONER ,,, ₱60.00 ,, ₱-   ,1,,1,₱60.00
,7 DAYS TONERV,,, ₱110.00 ,, ₱-   ,3,,3,₱330.00
,ROSMAR REJUV TONER,,, ₱60.00 ,, ₱-   ,1,,1,₱60.00
,ROSMAR MILKY SUNCREEN MIST,,,,, ₱-   ,1,,1,₱0.00
,BRILLIANT AHA ALPHA HYDROXY ACID,,, ₱120.00 ,, ₱-   ,3,,3,₱360.00
,PERFECT SKIN REVITAGLOWLIFT INSTA BOTOX,,, ₱150.00 ,, ₱-   ,1,,1,₱150.00
,GLOWRIE NIACINAMIDE W/ SERUM,,,,, ₱-   ,1,,1,₱0.00
,CHEL GLASS SKIN ,,, ₱230.00 ,, ₱-   ,1,,1,₱230.00
,AKISS HYDRATING SERUM,,, ₱200.00 ,, ₱-   ,1,,1,₱200.00
,SY GLOW HYALURONIC SERUM,,,,, ₱-   ,1,,1,₱0.00
,SKEENCARE SUNBLOCK CREAM,,,,, ₱-   ,3,,3,₱0.00
,7 DAYS CREAM,,,,, ₱-   ,3,,3,₱0.00
,YASUY BEAUTY DAY CREAM ,,,,, ₱-   ,5,,5,₱0.00
,SOUTHGIRL REJUV CREAM,,, ₱40.00 ,, ₱-   ,1,,1,₱40.00
,BLOOMING PLUS CREAM,,,,, ₱-   ,1,,1,₱0.00
,LARSKIN DAY CREAM,,,,, ₱-   ,1,,1,₱0.00
,SKINTOUCH NIGHT CREAM 10G,,, ₱80.00 ,, ₱-   ,1,,1,₱80.00
,HIKARI DAY CREAM,,, ₱35.00 ,, ₱-   ,1,,1,₱35.00
,HAMISAN SUNBLOCK,,, ₱35.00 ,, ₱-   ,1,,1,₱35.00
,SCD SUNBLOCK CREAM TINT ,,, ₱19.00 ,, ₱-   ,2,,2,₱38.00
,BS SUNBLOCKER ,,, ₱65.00 ,, ₱-   ,1,,1,₱65.00
,SASKIN SUNSCREEN,,, ₱160.00 ,, ₱-   ,2,,2,₱320.00
,SKEENCARE PEELING LOTION ,,, ₱150.00 ,, ₱-   ,1,,1,₱150.00
,SCOBAN BREATH SPRAY,,,85.00,,,2,,,₱0.00
,GLOVES FOR FOOD USED 1 ,,,,,,,,,₱0.00
,M STYLE SANDAL ,,,350.00,,,3,,3,"₱1,050.00"
,COLSI SANDAL ,,,160.00,,,1,,1,₱160.00
,NEGRA SOAP ,,,55.00,,,10,,10,₱550.00
,SKINTOUCH SOAP,,,70.00,,,1,,1,₱70.00
,SKEENCARE PEELIG SOAP,,,70.00,,,2,,2,₱140.00
,HONEST GLOW SOAP,,,65.00,,,3,,2,₱195.00
,AGELESS BEAUTY KOJIC SOAP,,,50.00,,,1,,1,₱50.00
,AGELESS BEAUTY REJUV  SOAP,,,50.00,,,1,,1,₱50.00
,CB NIACINAMIDE SOAP BLACK,,,60.00,,,5,,5,₱300.00
,MINI NIACINAMIDE TAWAS SOAP,,,49.00,,,1,,1,₱49.00
,MILKY PEACH SOAP,,,55.00,,,3,,3,₱165.00
,CB NIACINAMIDE BERRY SOAP ,,,60.00,,,4,,4,₱240.00
,BRILLIANT MAINTENANCE SOAP,,,100.00,,,3,,3,₱300.00
,MY DREAM SKIN SOAP,,,50.00,,,4,,4,₱200.00
